task,dataset,network_type,network_depth,network_activation,accuracy_pct,accuracy,loss,lr,global_step,datetime
dot,random_pos,dense,2,linear,4.0%,0.0375,14.341447,0.0010000016,30000,2018-11-02 23:56:06
elementwise_mul,random_pos,dense,2,linear,45.0%,0.44626564,0.112067595,0.0010000006,30000,2018-11-02 23:59:28
one_hot_sum,random_pos,dense,2,linear,100.0%,0.9960742,0.004760888,0.0010000006,1000,2018-11-02 23:59:38
elementwise_add,random_pos,dense,2,linear,100.0%,1.0,1.4495226e-11,0.0010000006,1000,2018-11-02 23:59:56
equality,random_pos,dense,2,linear,100.0%,1.0,1.1969618e-05,0.0010000006,1000,2018-11-03 00:00:09
logical_and,random_pos,dense,2,linear,100.0%,1.0,0.00017602465,0.0010000006,1000,2018-11-03 00:00:26
logical_or,random_pos,dense,2,linear,100.0%,1.0,0.0001681237,0.0010000006,1000,2018-11-03 00:00:43
logical_xor,random_pos,dense,2,linear,100.0%,1.0,1.2969746e-05,0.0010000006,1000,2018-11-03 00:00:52
reduce_sum,one_hot,dense,2,linear,100.0%,1.0,1.024809e-08,0.0010000006,1000,2018-11-03 00:01:18
reduce_max,one_hot,dense,2,linear,100.0%,1.0,0.00029905178,0.0001,1000,2018-11-03 00:02:48
concat,one_hot,dense,2,linear,99.0%,0.9920166,0.0045707617,0.0001,1000,2018-11-03 00:03:11
dot,one_hot,dense,2,linear,99.0%,0.9895,0.010690342,9.999996e-06,30000,2018-11-03 00:07:33
elementwise_mul,one_hot,dense,2,linear,100.0%,0.99994725,0.00083203573,0.0001,1000,2018-11-03 00:09:09
one_hot_sum,one_hot,dense,2,linear,100.0%,0.9959707,0.005214053,0.0001,1000,2018-11-03 00:09:31
elementwise_add,one_hot,dense,2,linear,100.0%,0.9997051,0.00032133504,0.001,400,2018-11-03 00:11:26
equality,one_hot,dense,2,linear,99.0%,0.9931797,0.0017019844,0.001,1000,2018-11-03 00:11:49
logical_and,one_hot,dense,2,linear,100.0%,0.9994238,0.0014064861,0.001,100,2018-11-03 00:12:10
logical_or,one_hot,dense,2,linear,100.0%,0.99951565,0.00041182965,0.001,400,2018-11-03 00:12:32
logical_xor,one_hot,dense,2,linear,100.0%,0.9986563,0.00079191715,0.001,400,2018-11-03 00:12:53
reduce_sum,many_hot,dense,2,linear,100.0%,1.0,0.0011305074,0.009999993,30000,2018-11-03 00:20:15
reduce_max,many_hot,dense,2,linear,99.0%,0.99075,0.0036184078,0.009999993,1000,2018-11-03 00:21:00
